const,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1.0,-0.5062572126348576,1.0840718933961968,-1.395226044795831,-0.19350313511342962,-0.45565710934602455,-0.32993197451766154,0.6483687121558168,1.4484484902962538,-0.638601135843978,-0.9761253221434489,5.0
1.0,-0.23787585067774644,2.171449517530765,-1.395226044795831,1.3416915620043568,1.0763855535888065,0.9037358613222936,0.0395628617367477,-0.7832481159295059,0.3722451432002611,-0.5828426067064819,5.0
1.0,-0.23787585067774644,1.4465311014410531,-1.188917738645926,0.9230020991540512,-0.01793063422178712,0.4177455017489779,0.161324031820548,-0.3513068373051676,0.1195335734392011,-0.5828426067064819,5.0
1.0,2.043365725957701,-1.4531425629177939,1.4930902413028375,-0.2632847122551472,0.20093260334033158,0.6420487446289698,0.7701298822396171,-1.0712089683457335,-0.47012675600327225,-0.5828426067064819,6.0
1.0,-0.5062572126348576,1.0840718933961968,-1.395226044795831,-0.19350313511342962,-0.45565710934602455,-0.32993197451766154,0.6483687121558168,1.4484484902962538,-0.638601135843978,-0.9761253221434489,5.0
1.0,-0.5062572126348576,0.8424324213662934,-1.395226044795831,-0.2632847122551472,-0.23679387178390582,-0.10562873163766971,0.6483687121558168,1.4484484902962538,-0.638601135843978,-0.9761253221434489,5.0
1.0,-0.17078051018846818,0.4799732133214372,-1.0857635855709735,-0.6819741751054519,-0.01793063422178712,0.6046648708156378,-0.2039594784309205,-0.06334598488893994,-1.480973035047511,-0.9761253221434489,5.0
1.0,-0.5733525531241358,0.7820225533588174,-1.395226044795831,-0.9611004836723224,-0.01793063422178712,-0.8159223340909771,-1.2998100091851907,0.584565933047574,-1.396735845127158,-0.38620124898799923,7.0
1.0,-0.23787585067774644,0.35915347730648517,-1.2920718917208784,-0.40284786653858246,-0.6745203469081432,-0.9280739555309732,0.0395628617367477,0.36859529373540156,-0.5543639459236256,-0.8778046432842076,7.0
1.0,-0.43916187214557995,-0.12412546675332242,0.4615487105533128,-0.5424110208220176,0.20093260334033158,2.2121714447889125,0.6483687121558168,0.2966050806313463,1.3830914222445,0.10540214530820913,5.0
1.0,-0.9759245960598029,0.35915347730648517,-0.9826094324960211,1.2719099848626392,-0.01793063422178712,0.8289681136956296,-0.5083624036404212,-0.20732641109705377,-0.8070755156846846,-1.1727666798619334,5.0
1.0,-0.43916187214557995,-0.12412546675332242,0.4615487105533128,-0.5424110208220176,0.20093260334033158,2.2121714447889125,0.6483687121558168,0.2966050806313463,1.3830914222445,0.10540214530820913,5.0
1.0,-1.7139733414418599,0.5705880153326512,-1.395226044795831,0.7136573677288983,0.09150098455927223,0.6046648708156378,-1.4824517643109587,1.952379982024654,-0.9755498955253913,-0.4845219278472406,5.0
1.0,-0.23787585067774644,0.5403830813289132,0.10050917479097927,2.4581967962718374,-0.6745203469081432,-0.5168513435843214,0.4048463719881486,-0.3513068373051676,-0.1331779963218589,-1.2710873587211746,5.0
